ITEM,QUANTITY,PRICE (USD),PRICE (LOCAL £),SOURCE,LINK,HQ TOTAL (USD),HQ TOTAL (£),SELF-PAID ($),SELF-PAID (£),BOM TOTAL ($),,Shipping ($), SOURCE
Orpheus Pico,1.00,0.00,0.00,HQ,N/A,110.59,82.30,19.43,14.45,130.02,Aliexpress,6.74, Grant
PCB,5 (min),25.60,30.06,JLCPCB (Grant),N/A,,,,,,JLCPCB,12.45, Grant
Case,1.00,0.00,0.00,Me,N/A,,,,,,Perspex,9.37, Me
Gateron Red Switches,90.00,26.60,19.82,Grant,https://www.aliexpress.com/item/1005005550328893.html,,,,,,,,
EC11 Rotary Encoder,1.00,1.91,1.42,Grant,https://www.aliexpress.com/item/1005005983159472.html,,,,,,,,
SK6812 MINI-E LEDs,100.00,3.57,2.66,Grant,https://www.aliexpress.com/item/1005007863635868.html,,,,,,,,
1N4148 Diodes,100.00,1.63,1.25,Grant,https://www.aliexpress.com/item/4000142272546.html,,,,,,,,
PBT Side Printed Keycaps,1 (set),19.34,14.41,Grant,https://www.aliexpress.com/item/1005008769598276.html,,,,,,,,
Aluminium Alloy Knob,2pcs (1 set),4.72,3.52,Me,https://www.aliexpress.com/item/1005008054145777.html,,,,,,,,
DUROCK Plate Mount Stabilisers,1 Set (4x2U 1x6.25U),7.81,5.82,Grant,https://www.aliexpress.com/item/1005006528731543.html,,,,,,,,
M3 Allen Bolt,50.00,2.11,1.57,Grant,https://www.aliexpress.com/item/32810872544.html,,,,,,,,
M3 Threaded Insert,50.00,2.83,2.11,Grant,https://www.aliexpress.com/item/1005004535859664.html,,,,,,,,

Acrylic Sheet (1mm),1.00,5.34,3.98,Me,https://www.simplyplastics.com/catalog/sheet/cast-acrylic-sheet/clear-cast-acrylic-sheet/c-24/c-83/p-203,,,,,,,,


